id,name,current_url,proposed_url,verdict,evidence
2960,DIRECTV,https://www.directv.com/,https://www.directv.com/,dead,Private company (TPG-owned since 2021); directv.com is consumer site; no bondholder IR calendar page
60098,Export-Import Bank of Korea,https://www.koreaexim.go.kr/site/main/index2,https://www.koreaexim.go.kr/site/main/index2,dead,koreaexim.go.kr returned 502 Bad Gateway and socket hang up on multiple attempts; site currently unreachable
64728,Grupo Mexico,www.gmexico.com,https://www.gmexico.com,dead,Multiple gmexico.com investor URL patterns returned 404; unable to locate working IR page
62288,Saudi Electricity Company,https://www.se.com.sa/en/Investors/Column1/Announcements/Financial-Calendar,https://www.marketscreener.com/quote/stock/SAUDI-ELECTRICITY-COMPANY-6498101/calendar/,dead,Primary IR page timed out/rebranded to Saudi Energy (SE); original financial-calendar URL not reachable; MarketScreener listed as third-party fallback
62565,Singapore Airlines,https://www.singaporeair.com/en_UK/gb/about-us/information-for-investors/financial-calendar/,https://www.marketscreener.com/quote/stock/SINGAPORE-AIRLINES-LIMITE-6491138/calendar/,dead,Both /gb/ and /sg/ financial-calendar paths return 404; primary IR page hard to locate; MarketScreener fallback listed
2591,Spirit Airlines,https://ir.spirit.com/events-and-presentations/default.aspx,,dead,Spirit Airlines ceased operations May 2 2026 after second Chapter 11 (Aug 2025). ir.spirit.com/events-and-presentations 302 redirects to spiritrestructuring.com (Cloudflare 522). No forward calendar.
3693,ICU Medical,https://ir.icumed.com/event-calendar,https://ir.icumed.com/event-calendar,fetch-error,ir.icumed.com/event-calendar URL likely correct but WebFetch timed out on all attempts; retain existing URL
59523,IHS Towers,https://www.ihstowers.com/support-and-info/media/press-releases,https://www.ihstowers.com/support-and-info/media/press-releases,fetch-error,investors.ihstowers.com DNS unresolved; ihstowers.com subpaths bot-blocked (Challenge Validation)
55546,Abbott Labs,https://www.abbottinvestor.com/news-and-events/events,https://www.abbottinvestor.com/news-and-events/events,found,Q1 2026 Abbott Earnings Conf Call | Q3 2025 Abbott Earnings Conf Call | Q2 2025 Abbott Earnings Conf Call
55556,ABN AMRO,https://www.abnamro.com/en/investor-relations/financial-calendar,https://www.abnamro.com/en/investor-relations/financial-calendar,found,"Financial calendar page listing upcoming reporting dates, dividend dates and events - importable to calendar"
55572,Abu Dhabi National Oil,https://www.adnocdistribution.ae/investor-relations/results-and-presentation,https://www.adnocdistribution.ae/en/investor-relations/shareholder-information/financial-calendar,found,ADNOC Distribution maintains a financial calendar with key dates including General Assembly Meetings
55703,Agricultural Bank Of China,https://www.abchina.com/en/investor-relations/performance-reports/quarterly-reports/qurep/,https://www.abchina.com/en/investor-relations/investor-service/investor-calendar/,found,March 2025 2024 Annual Results Announcement | April 2025 Q1 Results | Aug 2025 Interim | Oct 2025 Q3 | March 2026 2025 Annual
55723,AIA Group,https://www.aia.com/en/investor-relations/overview/financial-calendar,https://www.aia.com/en/investor-relations/overview/financial-calendar,found,AIA Financial Calendar lists all important financial announcements starting from year 2011 until today
1763,Air Canada,https://www.aircanada.com/media/events,https://investors.aircanada.com/events,found,2024 Investor Day Dec 17 2024 | Q4/FY 2024 Financial Results Feb 14 2025 - IR events page with calendar
55736,Air Products,https://investors.airproducts.com/events,https://investors.airproducts.com/events,found,Fiscal 2026 Q1 earnings teleconference Jan 30 2026 8am ET | Fiscal 2026 Q2 April 30 2026 8am ET
55884,Amazon,https://ir.aboutamazon.com/overview/default.aspx,https://ir.aboutamazon.com/events/default.aspx,found,Q1 2026 Earnings Conf Call April 29 2026 2:30pm PT | Q2 2026 Earnings Conf Call July 30 2026 2pm PT
60378,Americanas,https://ri.americanas.io/informacoes-aos-investidores/calendario-de-eventos/,https://ri.americanas.io/en/investor-information/events-calendar/,found,Events Calendar - RI Americanas at ri.americanas.io/en/investor-information/events-calendar/
1762,Ardent Health Services,https://ir.ardenthealth.com/events-and-presentations/event-details/2026/Ardent-Health-Fourth-Quarter-2025-Earnings-Conference-Call/default.aspx,https://ir.ardenthealth.com/events-and-presentations/default.aspx,found,BofA 2026 Healthcare Conf May 13 2026 | Goldman Sachs 47th Global Healthcare Conf June 10 2026 | Q1 2026 results May 5 2026
56061,Ares,https://ir.aresmgmt.com/news-events-presentations/events-and-presentations,https://ir.ares.com/events-presentations,found,Barclays 24th Annual Global Financial Services Conference on 09/16/2026 listed under Latest Resources on new ir.ares.com domain
56356,Banco Macro,https://www.macro.com.ar/relaciones-inversores/en/more-resources/events,https://www.macro.com.ar/relaciones-inversores/en/more-resources/events,found,Events page lists 2Q26 Earnings Conference Call (Aug 19-20 2026 at 12pm) and 1Q26 call (May 27-28) with Zoom registration links
56389,Banistmo,https://www.banistmo.com/wps/portal/banistmo/acerca-de/informacion-corporativa/relacion-con-inversionistas,https://www.banistmo.com/wps/portal/banistmo/acerca-de/informacion-corporativa/relacion-con-inversionistas,found,Publication calendar with future dates: Q3 2026 Financial Statements publication November 2026; Annual 2026 publication March 2027 for both Banistmo and Leasing Banistmo
56405,Bank Mandiri,https://www.bankmandiri.co.id/web/ir/events-calendar?p_p_id=Ir_Calendar_Portlet_INSTANCE_Y3pazVFvp63h&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_Ir_Calendar_Portlet_INSTANCE_Y3pazVFvp63h_year=2025,https://www.bankmandiri.co.id/web/ir/events-calendar,found,"Events calendar lists Q4 2025 Results (Feb 2 2026), Q1 2026 Results (Apr 21 2026), Q2 2026 Results (Jul 22 2026) - all with conference call and Zoom registration"
56443,Bank Pekao,https://www.pekao.com.pl/en/investors-relations/news-and-calendar/calendar.html,https://www.pekao.com.pl/en/investors-relations/news-and-calendar/calendar.html,found,Confirmed 2026 calendar: Feb 19 (annual report FY2025); Apr 30 (Q1 2026); Jul 30 (H1 2026); Oct 29 (Q3 2026)
1137,Bombardier,https://bombardier.com/en/investors/investor-events,https://bombardier.com/en/investors/investor-events,found,"Financial Results for Q3 2026 - November 5, 2026, 8:00 a.m. Eastern; online live stream event"
62092,Bosch,http://bosch.com/company/investor-relations/,https://www.bosch.com/company/investor-relations/,found,"Upcoming: September 23, 2026 - Virtual Conference Call H1 2026 with CFO Dr. Markus Forschner"
56884,Caixabank,https://www.caixabank.com/es/actualidad.html,https://www.caixabank.com/aplnr/agenda/index_en.html,found,Investor's agenda: Sept 15 Barclays Conf; Sept 22 BofA Financials Conf; Oct 30 3Q 2026 Results; Nov 19 JP Morgan European Financials Conf
57511,Codelco,https://www.codelco.com/en/transparencia/calendario,https://www.codelco.com/financial-calendar,found,"Calendar shows 2025 Full Year Results (27th), 2026 Q1 Results (29th), 2026 H1 Results (28th), 2026 Q3 Results (27th), Ordinary Shareholders' Meeting, Board meetings"
652,Constellium,https://www.constellium.com/investors/financial-results,https://www.constellium.com/investors,found,Q2 2026 results conference call Wed July 29 2026 10:00 AM ET; Q1 Apr 29 2026; FY2025 Feb 18 2026 all confirmed
2706,Custom Truck,https://investors.customtruck.com/events-and-presentations/default.aspx,https://investors.customtruck.com/events-and-presentations/default.aspx,found,Q1 2026 earnings call Apr 28 2026; Q2 2026 earnings call Aug 4 2026; Oppenheimer conf May 5 2026 all posted on events page
1591,Dell,https://investors.delltechnologies.com/news-events/upcoming-events,https://investors.delltechnologies.com/news-events/upcoming-events,found,Goldman Sachs Communacopia Sep 9 2026 12:25 PM PDT; Citi Global TMT Conf Sep 10 2026 10:10 AM EDT
58020,DSV,https://investor.dsv.com/calendar,https://investor.dsv.com/calendar,found,2026 calendar: Annual Report Feb 4 2026; AGM Mar 19; Q1 Apr 29; H1 Jul 22; Q3 Oct 21; Capital Markets Day May 12 2026
1164,EDP,http://www.edp.pt/,https://edp.com/en/investors/investor-information/financial-calendar-and-roadshows,found,"Dedicated financial-calendar-and-roadshows page; 2025 calendar published Feb 27 annual results, Apr 10 shareholders' meeting, etc"
58166,Electronic Arts,https://ir.ea.com/press-releases/default.aspx,https://ir.ea.com/events-and-presentations/events/default.aspx,found,Q1 FY2026 and Q2 2025 earnings calls posted; investor events calendar available at ir.ea.com
58178,Eli Lilly,https://investor.lilly.com/webcasts-and-presentations,https://investor.lilly.com/events,found,Q1 2026 Earnings Call and Q2 2026 Earnings Call scheduled; Lilly Oncology ASCO Investor Event; Investment Community Meeting
2963,Energean,https://www.energean.com/investors/calendar/,https://www.energean.com/investors/calendar/,found,Calendar page lists H1 2026 Results scheduled for 9 September 2026 (fetch 403 but search confirms live content)
1754,Eurofins Scientific,https://www.eurofins.com/investors/corporate-timetable/,https://www.eurofins.com/investors/,found,IR page lists Investor Days: Amersfoort Oct 23 2026 and Toronto Nov 11 2026
63407,Garanti BBVA,https://www.garantibbvainvestorrelations.com/tr/,https://www.garantibbvainvestorrelations.com/en/,found,IR calendar lists GS CEEMEA Financials Symposium Sep 14 2026; JPM Emerging & Frontier Markets Sep 17 2026; 3Q26 Financial Results Release Oct 28 2026
58926,GLP,https://www.glpjreit.com/en/ir/calendar.html,https://www.glpjreit.com/en/ir/calendar.html,found,IR calendar shows Closing of the fiscal period August 2026 on Aug 31 2026 as latest scheduled event
